epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4018,4.4248,5.72615,3.04738,0,0,0,0,4.44514,5.07936,3.15757,6e-05,6e-05,6e-05
2,65.4881,4.12867,5.24038,2.63452,0.00028,0.0001,0.00015,1e-05,4.49709,4.72035,2.9582,0.000127426,0.000127426,0.000127426
3,99.2739,4.27415,4.4591,2.31507,0.00038,0.02232,0.0002,6e-05,4.41138,4.60173,2.90626,0.00019208,0.00019208,0.00019208
4,131.825,4.10065,4.19838,2.04142,0.00164,0.11126,0.00177,0.00044,4.29213,4.4834,2.89743,0.000253962,0.000253962,0.000253962
5,165.449,4.15364,3.8077,1.90063,0.20529,0.05926,0.00496,0.00118,4.4826,5.24283,2.25412,0.000313072,0.000313072,0.000313072
6,199.333,4.19924,3.68473,1.88534,0.23608,0.02963,0.01898,0.00435,4.50498,5.33247,2.42394,0.00036941,0.00036941,0.00036941
7,232.895,4.3149,3.76746,1.8308,0.64235,0.02222,0.01771,0.00301,4.42766,5.29304,2.503,0.000422976,0.000422976,0.000422976
8,276.571,4.23607,3.62138,1.7858,0.40333,0.1037,0.00279,0.00045,4.5974,4.45676,2.52138,0.00047377,0.00047377,0.00047377
9,325.093,4.15949,3.51761,1.74816,0.2038,0.0078,0.0016,0.00044,4.63157,5.00811,2.51501,0.000521792,0.000521792,0.000521792
10,371.89,4.27733,3.56528,1.76175,0.20374,0.0076,0.00125,0.00034,4.732,5.32063,2.52962,0.000567042,0.000567042,0.000567042
11,420.945,4.27447,3.48712,1.70473,0.00238,0.02546,0.0013,0.00068,4.63653,5.09679,2.02784,0.00060952,0.00060952,0.00060952
12,467.489,4.26905,3.4982,1.75884,0.00033,0.00029,9e-05,1e-05,4.72589,7.80595,1.80411,0.000649226,0.000649226,0.000649226
13,508.367,4.30527,3.3522,1.71814,0.48806,0.00741,0.01743,0.00175,4.65855,10.6113,1.91687,0.00068616,0.00068616,0.00068616
14,541.17,4.30136,3.51374,1.75494,0.48806,0.00741,0.01743,0.00175,4.65855,10.6113,1.91687,0.000720322,0.000720322,0.000720322
